_id,Crash_Year,Crash_PoliceRegion,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Restraint_Helmet_Use,Casualty_Count
33,2001,Brisbane,Hospitalised,17 to 24,Female,Vehicle Occupant,Unrestrained,7
34,2001,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,Helmet Worn,2
35,2001,Brisbane,Hospitalised,25 to 29,Female,Vehicle Occupant,Restrained,48
36,2001,Brisbane,Hospitalised,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,12
37,2001,Brisbane,Hospitalised,25 to 29,Female,Vehicle Occupant,Unrestrained,4
38,2001,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,Helmet Use Not determined,2
39,2001,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Use Not determined,1
40,2001,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Worn,4
41,2001,Brisbane,Hospitalised,30 to 39,Female,Vehicle Occupant,Restrained,63
42,2001,Brisbane,Hospitalised,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,10
43,2001,Brisbane,Hospitalised,40 to 49,Female,Bicyclist,Helmet Worn,2
44,2001,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,Helmet Worn,6
45,2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Not applicable,1
46,2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Restrained,61
47,2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,6
48,2001,Brisbane,Hospitalised,40 to 49,Female,Vehicle Occupant,Unrestrained,4
49,2001,Brisbane,Hospitalised,50 to 59,Female,Motorcyclist,Helmet Worn,2
50,2001,Brisbane,Hospitalised,50 to 59,Female,Vehicle Occupant,Restrained,39
51,2001,Brisbane,Hospitalised,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,6
52,2001,Brisbane,Hospitalised,50 to 59,Female,Vehicle Occupant,Unrestrained,1
53,2001,Brisbane,Hospitalised,60 to 74,Female,Vehicle Occupant,Restrained,31
54,2001,Brisbane,Hospitalised,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,1
55,2001,Brisbane,Hospitalised,60 to 74,Female,Vehicle Occupant,Unrestrained,4
56,2001,Brisbane,Hospitalised,75 and over,Female,Vehicle Occupant,Restrained,22
57,2001,Brisbane,Hospitalised,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,4
58,2001,Brisbane,Hospitalised,75 and over,Female,Vehicle Occupant,Unrestrained,1
59,2001,Brisbane,Hospitalised,Unknown,Female,Vehicle Occupant,Restrained,1
60,2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,Helmet Not Worn,3
61,2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,Helmet Use Not determined,1
62,2001,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,Helmet Worn,11
63,2001,Brisbane,Hospitalised,0 to 16,Male,Motorcyclist,Helmet Worn,2
64,2001,Brisbane,Hospitalised,0 to 16,Male,Vehicle Occupant,Restrained,20
65,2001,Brisbane,Hospitalised,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,6
66,2001,Brisbane,Hospitalised,0 to 16,Male,Vehicle Occupant,Unrestrained,1
67,2001,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,Helmet Not Worn,2
68,2001,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,Helmet Worn,14
69,2001,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Not Worn,4
70,2001,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Worn,39
71,2001,Brisbane,Hospitalised,17 to 24,Male,Vehicle Occupant,Restrained,111
72,2001,Brisbane,Hospitalised,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,40
73,2001,Brisbane,Hospitalised,17 to 24,Male,Vehicle Occupant,Unrestrained,12
74,2001,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,Helmet Use Not determined,2
75,2001,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,Helmet Worn,10
76,2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Not Worn,1
77,2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Use Not determined,1
78,2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Worn,25
79,2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Not applicable,1
80,2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Restrained,36
81,2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,13
82,2001,Brisbane,Hospitalised,25 to 29,Male,Vehicle Occupant,Unrestrained,4
83,2001,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,Helmet Not Worn,2
84,2001,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,Helmet Worn,18
85,2001,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Use Not determined,2
86,2001,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Worn,39
87,2001,Brisbane,Hospitalised,30 to 39,Male,Vehicle Occupant,Restrained,60
88,2001,Brisbane,Hospitalised,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,20
89,2001,Brisbane,Hospitalised,30 to 39,Male,Vehicle Occupant,Unrestrained,5
90,2001,Brisbane,Hospitalised,40 to 49,Male,Bicyclist,Helmet Worn,7
91,2001,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Use Not determined,1
92,2001,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Worn,24
93,2001,Brisbane,Hospitalised,40 to 49,Male,Vehicle Occupant,Not applicable,1
94,2001,Brisbane,Hospitalised,40 to 49,Male,Vehicle Occupant,Restrained,43
95,2001,Brisbane,Hospitalised,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,14
96,2001,Brisbane,Hospitalised,40 to 49,Male,Vehicle Occupant,Unrestrained,3
97,2001,Brisbane,Hospitalised,50 to 59,Male,Bicyclist,Helmet Worn,4
98,2001,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,Helmet Use Not determined,1
99,2001,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,Helmet Worn,7
100,2001,Brisbane,Hospitalised,50 to 59,Male,Vehicle Occupant,Restrained,30
101,2001,Brisbane,Hospitalised,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,7
102,2001,Brisbane,Hospitalised,50 to 59,Male,Vehicle Occupant,Unrestrained,2
103,2001,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,Helmet Use Not determined,1
104,2001,Brisbane,Hospitalised,60 to 74,Male,Vehicle Occupant,Restrained,21
105,2001,Brisbane,Hospitalised,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,8
106,2001,Brisbane,Hospitalised,60 to 74,Male,Vehicle Occupant,Unrestrained,3
107,2001,Brisbane,Hospitalised,75 and over,Male,Vehicle Occupant,Restrained,13
108,2001,Brisbane,Hospitalised,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,1
109,2001,Brisbane,Hospitalised,75 and over,Male,Vehicle Occupant,Unrestrained,1
110,2001,Brisbane,Hospitalised,Unknown,Male,Motorcyclist,Helmet Not Worn,1
111,2001,Brisbane,Hospitalised,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,1
112,2001,Brisbane,Hospitalised,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,1
113,2001,Brisbane,Medically treated,0 to 16,Female,Bicyclist,Helmet Use Not determined,1
114,2001,Brisbane,Medically treated,0 to 16,Female,Bicyclist,Helmet Worn,2
115,2001,Brisbane,Medically treated,0 to 16,Female,Vehicle Occupant,Restrained,57
116,2001,Brisbane,Medically treated,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,5
117,2001,Brisbane,Medically treated,0 to 16,Female,Vehicle Occupant,Unrestrained,1
118,2001,Brisbane,Medically treated,17 to 24,Female,Bicyclist,Helmet Worn,9
119,2001,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,Helmet Worn,4
120,2001,Brisbane,Medically treated,17 to 24,Female,Vehicle Occupant,Restrained,290
121,2001,Brisbane,Medically treated,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,34
122,2001,Brisbane,Medically treated,17 to 24,Female,Vehicle Occupant,Unrestrained,6
123,2001,Brisbane,Medically treated,25 to 29,Female,Bicyclist,Helmet Worn,3
124,2001,Brisbane,Medically treated,25 to 29,Female,Motorcyclist,Helmet Worn,2
125,2001,Brisbane,Medically treated,25 to 29,Female,Vehicle Occupant,Restrained,144
126,2001,Brisbane,Medically treated,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,14
127,2001,Brisbane,Medically treated,25 to 29,Female,Vehicle Occupant,Unrestrained,3
128,2001,Brisbane,Medically treated,30 to 39,Female,Bicyclist,Helmet Use Not determined,1
129,2001,Brisbane,Medically treated,30 to 39,Female,Bicyclist,Helmet Worn,4
130,2001,Brisbane,Medically treated,30 to 39,Female,Motorcyclist,Helmet Worn,6
131,2001,Brisbane,Medically treated,30 to 39,Female,Vehicle Occupant,Restrained,240
132,2001,Brisbane,Medically treated,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,23
133,2001,Brisbane,Medically treated,30 to 39,Female,Vehicle Occupant,Unrestrained,9
134,2001,Brisbane,Medically treated,40 to 49,Female,Bicyclist,Helmet Worn,3
135,2001,Brisbane,Medically treated,40 to 49,Female,Motorcyclist,Helmet Worn,3
136,2001,Brisbane,Medically treated,40 to 49,Female,Vehicle Occupant,Restrained,168
137,2001,Brisbane,Medically treated,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,15
138,2001,Brisbane,Medically treated,40 to 49,Female,Vehicle Occupant,Unrestrained,3
139,2001,Brisbane,Medically treated,50 to 59,Female,Bicyclist,Helmet Worn,1
140,2001,Brisbane,Medically treated,50 to 59,Female,Motorcyclist,Helmet Worn,1
141,2001,Brisbane,Medically treated,50 to 59,Female,Vehicle Occupant,Restrained,122
142,2001,Brisbane,Medically treated,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,12
143,2001,Brisbane,Medically treated,50 to 59,Female,Vehicle Occupant,Unrestrained,4
144,2001,Brisbane,Medically treated,60 to 74,Female,Bicyclist,Helmet Worn,1
145,2001,Brisbane,Medically treated,60 to 74,Female,Vehicle Occupant,Restrained,56
146,2001,Brisbane,Medically treated,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,7
147,2001,Brisbane,Medically treated,60 to 74,Female,Vehicle Occupant,Unrestrained,4
148,2001,Brisbane,Medically treated,75 and over,Female,Vehicle Occupant,Restrained,29
149,2001,Brisbane,Medically treated,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,1
150,2001,Brisbane,Medically treated,75 and over,Female,Vehicle Occupant,Unrestrained,2
151,2001,Brisbane,Medically treated,Unknown,Female,Motorcyclist,Helmet Use Not determined,1
152,2001,Brisbane,Medically treated,Unknown,Female,Vehicle Occupant,Restrained,4
153,2001,Brisbane,Medically treated,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,3
154,2001,Brisbane,Medically treated,0 to 16,Male,Bicyclist,Helmet Not Worn,2
155,2001,Brisbane,Medically treated,0 to 16,Male,Bicyclist,Helmet Use Not determined,2
156,2001,Brisbane,Medically treated,0 to 16,Male,Bicyclist,Helmet Worn,10
157,2001,Brisbane,Medically treated,0 to 16,Male,Motorcyclist,Helmet Worn,1
158,2001,Brisbane,Medically treated,0 to 16,Male,Vehicle Occupant,Restrained,38
159,2001,Brisbane,Medically treated,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,7
160,2001,Brisbane,Medically treated,0 to 16,Male,Vehicle Occupant,Unrestrained,2
161,2001,Brisbane,Medically treated,17 to 24,Male,Bicyclist,Helmet Use Not determined,4
162,2001,Brisbane,Medically treated,17 to 24,Male,Bicyclist,Helmet Worn,18
163,2001,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,Helmet Not Worn,1
164,2001,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,Helmet Use Not determined,1
165,2001,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,Helmet Worn,29
166,2001,Brisbane,Medically treated,17 to 24,Male,Vehicle Occupant,Restrained,208
167,2001,Brisbane,Medically treated,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,34
168,2001,Brisbane,Medically treated,17 to 24,Male,Vehicle Occupant,Unrestrained,4
169,2001,Brisbane,Medically treated,25 to 29,Male,Bicyclist,Helmet Worn,13
170,2001,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,Helmet Not Worn,1
171,2001,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,Helmet Use Not determined,2
172,2001,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,Helmet Worn,25
173,2001,Brisbane,Medically treated,25 to 29,Male,Vehicle Occupant,Not applicable,1
174,2001,Brisbane,Medically treated,25 to 29,Male,Vehicle Occupant,Restrained,95
175,2001,Brisbane,Medically treated,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,23
176,2001,Brisbane,Medically treated,25 to 29,Male,Vehicle Occupant,Unrestrained,6
177,2001,Brisbane,Medically treated,30 to 39,Male,Bicyclist,Helmet Worn,28
178,2001,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,Helmet Not Worn,1
179,2001,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,Helmet Use Not determined,3
180,2001,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,Helmet Worn,48
181,2001,Brisbane,Medically treated,30 to 39,Male,Vehicle Occupant,Not applicable,2
182,2001,Brisbane,Medically treated,30 to 39,Male,Vehicle Occupant,Restrained,156
183,2001,Brisbane,Medically treated,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,22
184,2001,Brisbane,Medically treated,30 to 39,Male,Vehicle Occupant,Unrestrained,6
185,2001,Brisbane,Medically treated,40 to 49,Male,Bicyclist,Helmet Worn,8
186,2001,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,Helmet Use Not determined,1
187,2001,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,Helmet Worn,26
188,2001,Brisbane,Medically treated,40 to 49,Male,Vehicle Occupant,Restrained,105
189,2001,Brisbane,Medically treated,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,23
190,2001,Brisbane,Medically treated,40 to 49,Male,Vehicle Occupant,Unrestrained,4
191,2001,Brisbane,Medically treated,50 to 59,Male,Bicyclist,Helmet Worn,3
192,2001,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,Helmet Worn,10
193,2001,Brisbane,Medically treated,50 to 59,Male,Vehicle Occupant,Not applicable,2
194,2001,Brisbane,Medically treated,50 to 59,Male,Vehicle Occupant,Restrained,78
195,2001,Brisbane,Medically treated,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,15
196,2001,Brisbane,Medically treated,50 to 59,Male,Vehicle Occupant,Unrestrained,4
197,2001,Brisbane,Medically treated,60 to 74,Male,Bicyclist,Helmet Worn,1
198,2001,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,Helmet Worn,2
199,2001,Brisbane,Medically treated,60 to 74,Male,Vehicle Occupant,Restrained,52
200,2001,Brisbane,Medically treated,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,7
201,2001,Brisbane,Medically treated,60 to 74,Male,Vehicle Occupant,Unrestrained,4
202,2001,Brisbane,Medically treated,75 and over,Male,Vehicle Occupant,Restrained,18
203,2001,Brisbane,Medically treated,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,3
204,2001,Brisbane,Medically treated,Unknown,Male,Bicyclist,Helmet Not Worn,1
205,2001,Brisbane,Medically treated,Unknown,Male,Vehicle Occupant,Restrained,2
206,2001,Brisbane,Medically treated,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,4
207,2001,Brisbane,Medically treated,Unknown,Male,Vehicle Occupant,Unrestrained,1
208,2001,Brisbane,Medically treated,Unknown,Unknown,Vehicle Occupant,Restrained,1
209,2001,Brisbane,Medically treated,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,5
210,2001,Brisbane,Minor injury,0 to 16,Female,Bicyclist,Helmet Worn,1
211,2001,Brisbane,Minor injury,0 to 16,Female,Vehicle Occupant,Restrained,34
212,2001,Brisbane,Minor injury,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,4
213,2001,Brisbane,Minor injury,0 to 16,Female,Vehicle Occupant,Unrestrained,2
214,2001,Brisbane,Minor injury,17 to 24,Female,Bicyclist,Helmet Use Not determined,1
215,2001,Brisbane,Minor injury,17 to 24,Female,Bicyclist,Helmet Worn,2
216,2001,Brisbane,Minor injury,17 to 24,Female,Motorcyclist,Helmet Worn,2
217,2001,Brisbane,Minor injury,17 to 24,Female,Vehicle Occupant,Restrained,227
218,2001,Brisbane,Minor injury,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,22
219,2001,Brisbane,Minor injury,17 to 24,Female,Vehicle Occupant,Unrestrained,5
220,2001,Brisbane,Minor injury,25 to 29,Female,Bicyclist,Helmet Worn,1
221,2001,Brisbane,Minor injury,25 to 29,Female,Motorcyclist,Helmet Worn,1
222,2001,Brisbane,Minor injury,25 to 29,Female,Vehicle Occupant,Restrained,108
223,2001,Brisbane,Minor injury,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,11
224,2001,Brisbane,Minor injury,25 to 29,Female,Vehicle Occupant,Unrestrained,2
225,2001,Brisbane,Minor injury,30 to 39,Female,Bicyclist,Helmet Use Not determined,2
226,2001,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,Helmet Worn,1
227,2001,Brisbane,Minor injury,30 to 39,Female,Vehicle Occupant,Restrained,137
228,2001,Brisbane,Minor injury,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,22
229,2001,Brisbane,Minor injury,30 to 39,Female,Vehicle Occupant,Unrestrained,1
230,2001,Brisbane,Minor injury,40 to 49,Female,Motorcyclist,Helmet Worn,1
231,2001,Brisbane,Minor injury,40 to 49,Female,Vehicle Occupant,Not applicable,1
232,2001,Brisbane,Minor injury,40 to 49,Female,Vehicle Occupant,Restrained,123
233,2001,Brisbane,Minor injury,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,15
234,2001,Brisbane,Minor injury,40 to 49,Female,Vehicle Occupant,Unrestrained,2
235,2001,Brisbane,Minor injury,50 to 59,Female,Vehicle Occupant,Restrained,82
236,2001,Brisbane,Minor injury,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,13
237,2001,Brisbane,Minor injury,50 to 59,Female,Vehicle Occupant,Unrestrained,1
238,2001,Brisbane,Minor injury,60 to 74,Female,Vehicle Occupant,Restrained,28
239,2001,Brisbane,Minor injury,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,5
240,2001,Brisbane,Minor injury,60 to 74,Female,Vehicle Occupant,Unrestrained,1
241,2001,Brisbane,Minor injury,75 and over,Female,Vehicle Occupant,Restrained,9
242,2001,Brisbane,Minor injury,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,2
243,2001,Brisbane,Minor injury,75 and over,Female,Vehicle Occupant,Unrestrained,1
244,2001,Brisbane,Minor injury,Unknown,Female,Vehicle Occupant,Restrained,6
245,2001,Brisbane,Minor injury,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,1
246,2001,Brisbane,Minor injury,0 to 16,Male,Bicyclist,Helmet Not Worn,1
247,2001,Brisbane,Minor injury,0 to 16,Male,Bicyclist,Helmet Use Not determined,3
248,2001,Brisbane,Minor injury,0 to 16,Male,Bicyclist,Helmet Worn,6
249,2001,Brisbane,Minor injury,0 to 16,Male,Motorcyclist,Helmet Use Not determined,1
250,2001,Brisbane,Minor injury,0 to 16,Male,Vehicle Occupant,Restrained,21
251,2001,Brisbane,Minor injury,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,2
252,2001,Brisbane,Minor injury,0 to 16,Male,Vehicle Occupant,Unrestrained,2
253,2001,Brisbane,Minor injury,17 to 24,Male,Bicyclist,Helmet Not Worn,2
254,2001,Brisbane,Minor injury,17 to 24,Male,Bicyclist,Helmet Use Not determined,1
255,2001,Brisbane,Minor injury,17 to 24,Male,Bicyclist,Helmet Worn,6
256,2001,Brisbane,Minor injury,17 to 24,Male,Motorcyclist,Helmet Not Worn,1
257,2001,Brisbane,Minor injury,17 to 24,Male,Motorcyclist,Helmet Use Not determined,6
258,2001,Brisbane,Minor injury,17 to 24,Male,Motorcyclist,Helmet Worn,18
259,2001,Brisbane,Minor injury,17 to 24,Male,Vehicle Occupant,Not applicable,1
260,2001,Brisbane,Minor injury,17 to 24,Male,Vehicle Occupant,Restrained,163
261,2001,Brisbane,Minor injury,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,43
262,2001,Brisbane,Minor injury,17 to 24,Male,Vehicle Occupant,Unrestrained,11
263,2001,Brisbane,Minor injury,25 to 29,Male,Bicyclist,Helmet Use Not determined,1
264,2001,Brisbane,Minor injury,25 to 29,Male,Bicyclist,Helmet Worn,7
265,2001,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,Helmet Use Not determined,4
266,2001,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,Helmet Worn,14
267,2001,Brisbane,Minor injury,25 to 29,Male,Vehicle Occupant,Not applicable,2
268,2001,Brisbane,Minor injury,25 to 29,Male,Vehicle Occupant,Restrained,79
269,2001,Brisbane,Minor injury,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,14
270,2001,Brisbane,Minor injury,25 to 29,Male,Vehicle Occupant,Unrestrained,1
271,2001,Brisbane,Minor injury,30 to 39,Male,Bicyclist,Helmet Use Not determined,3
272,2001,Brisbane,Minor injury,30 to 39,Male,Bicyclist,Helmet Worn,7
273,2001,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,Helmet Use Not determined,4
274,2001,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,Helmet Worn,22
275,2001,Brisbane,Minor injury,30 to 39,Male,Vehicle Occupant,Not applicable,3
276,2001,Brisbane,Minor injury,30 to 39,Male,Vehicle Occupant,Restrained,136
277,2001,Brisbane,Minor injury,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,22
278,2001,Brisbane,Minor injury,30 to 39,Male,Vehicle Occupant,Unrestrained,7
279,2001,Brisbane,Minor injury,40 to 49,Male,Bicyclist,Helmet Use Not determined,2
280,2001,Brisbane,Minor injury,40 to 49,Male,Bicyclist,Helmet Worn,6
281,2001,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,Helmet Use Not determined,5
282,2001,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,Helmet Worn,13
283,2001,Brisbane,Minor injury,40 to 49,Male,Vehicle Occupant,Not applicable,2
284,2001,Brisbane,Minor injury,40 to 49,Male,Vehicle Occupant,Restrained,85
285,2001,Brisbane,Minor injury,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,17
286,2001,Brisbane,Minor injury,40 to 49,Male,Vehicle Occupant,Unrestrained,6
287,2001,Brisbane,Minor injury,50 to 59,Male,Bicyclist,Helmet Use Not determined,2
288,2001,Brisbane,Minor injury,50 to 59,Male,Bicyclist,Helmet Worn,3
289,2001,Brisbane,Minor injury,50 to 59,Male,Motorcyclist,Helmet Worn,4
290,2001,Brisbane,Minor injury,50 to 59,Male,Vehicle Occupant,Restrained,72
291,2001,Brisbane,Minor injury,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,14
292,2001,Brisbane,Minor injury,50 to 59,Male,Vehicle Occupant,Unrestrained,3
293,2001,Brisbane,Minor injury,60 to 74,Male,Motorcyclist,Helmet Use Not determined,1
294,2001,Brisbane,Minor injury,60 to 74,Male,Vehicle Occupant,Restrained,36
295,2001,Brisbane,Minor injury,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,11
296,2001,Brisbane,Minor injury,60 to 74,Male,Vehicle Occupant,Unrestrained,2
297,2001,Brisbane,Minor injury,75 and over,Male,Vehicle Occupant,Not applicable,1
298,2001,Brisbane,Minor injury,75 and over,Male,Vehicle Occupant,Restrained,7
299,2001,Brisbane,Minor injury,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,1
300,2001,Brisbane,Minor injury,Unknown,Male,Bicyclist,Helmet Not Worn,1
301,2001,Brisbane,Minor injury,Unknown,Male,Bicyclist,Helmet Use Not determined,2
302,2001,Brisbane,Minor injury,Unknown,Male,Bicyclist,Helmet Worn,1
303,2001,Brisbane,Minor injury,Unknown,Male,Motorcyclist,Helmet Worn,1
304,2001,Brisbane,Minor injury,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,4
305,2001,Brisbane,Minor injury,Unknown,Unknown,Motorcyclist,Helmet Use Not determined,1
