Crash_ID,Crash_Year,Crash_Severity,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Involving_Male_Driver_x,Involving_Female_Driver_x,Involving_Senior_Driver_60plus_x,Involving_Provisional_Driver_x,Involving_Overseas_Licensed_Driver_x,Involving_Young_Driver_16-24_x,Involving_Unlicensed_Driver_x,Primary_Reason_ID,Driver_Category_ID,Location_ID,Primary_Reason,Driver_Category,Location,Involving_Male_Driver_y,Involving_Female_Driver_y,Involving_Young_Driver_16-24_y,Involving_Senior_Driver_60plus_y,Involving_Provisional_Driver_y,Involving_Overseas_Licensed_Driver_y,Involving_Unlicensed_Driver_y,Count_Casualty_Fatality,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Count,Impact_Score
14,2001,Hospitalisation,1,0,1,0,0,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,3,4,0,Drink Driving,Provisional,Brisbane,Yes,No,Yes,No,Yes,No,No,6,Fatality,25 to 29,Male,Motorcyclist,1,19
15,2001,Hospitalisation,5,0,5,0,0,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,3,3,0,Drink Driving,Unlicensed,Brisbane,Yes,Yes,No,No,No,No,Yes,1,Fatality,25 to 29,Male,Vehicle Occupant,1,4
16,2001,Hospitalisation,10,0,15,2,0,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,3,2,0,Drink Driving,Senior,Brisbane,Yes,Yes,No,Yes,No,No,No,1,Fatality,25 to 29,Male,Vehicle Occupant,4,7
17,2001,Medical treatment,1946,0,0,2289,129,No,No,No,No,Yes,Yes,No,No,No,Yes,No,0,5,0,Other Reasons,Young_driver,Brisbane,Yes,Yes,Yes,No,No,No,No,1,Fatality,30 to 39,Male,Motorcyclist,1,4
18,2001,Medical treatment,25,0,0,29,0,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,1,4,0,Defective Vehicle,Provisional,Brisbane,Yes,Yes,Yes,No,Yes,No,No,1,Fatality,30 to 39,Male,Vehicle Occupant,2,5
19,2001,Medical treatment,9,0,0,10,1,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,4,4,0,Fatigued Driver,Provisional,Brisbane,Yes,Yes,Yes,Yes,Yes,No,No,1,Fatality,30 to 39,Male,Vehicle Occupant,1,4
20,2001,Medical treatment,41,0,0,53,3,No,Yes,No,No,No,No,No,No,No,No,No,2,0,0,Driver Speed,NotCategorised,Brisbane,No,No,No,No,No,No,No,0,Fatality,30 to 39,Male,Vehicle Occupant,1,1
21,2001,Medical treatment,1,0,0,4,0,No,Yes,No,Yes,No,Yes,No,No,No,No,No,2,1,0,Driver Speed,Female,Brisbane,No,Yes,No,No,No,No,No,0,Fatality,40 to 49,Male,Bicyclist,1,1
22,2001,Medical treatment,53,0,0,62,2,Yes,No,No,No,No,Yes,No,No,No,No,Yes,3,3,0,Drink Driving,Unlicensed,Brisbane,No,Yes,No,No,No,No,Yes,0,Fatality,40 to 49,Male,Motorcyclist,1,1
23,2001,Medical treatment,2,0,0,2,1,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,3,2,0,Drink Driving,Senior,Brisbane,No,Yes,No,Yes,No,No,No,0,Fatality,50 to 59,Male,Vehicle Occupant,1,1
24,2001,Medical treatment,7,0,0,11,0,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,3,4,0,Drink Driving,Provisional,Brisbane,No,Yes,No,Yes,Yes,No,No,0,Fatality,60 to 74,Male,Motorcyclist,1,1
25,2001,Minor injury,1299,0,0,0,1547,No,No,No,No,No,Yes,No,No,No,Yes,No,0,5,0,Other Reasons,Young_driver,Brisbane,No,Yes,Yes,No,No,No,No,0,Fatality,60 to 74,Male,Vehicle Occupant,1,1
26,2001,Minor injury,19,0,0,0,20,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,1,3,0,Defective Vehicle,Unlicensed,Brisbane,No,Yes,Yes,No,No,No,Yes,0,Hospitalised,0 to 16,Female,Bicyclist,1,1
27,2001,Minor injury,7,0,0,0,7,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,4,7,0,Fatigued Driver,OverseasLicensed ,Brisbane,No,Yes,Yes,No,No,Yes,No,0,Hospitalised,0 to 16,Female,Bicyclist,1,1
28,2001,Minor injury,26,0,0,0,31,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,2,4,0,Driver Speed,Provisional,Brisbane,No,Yes,Yes,No,Yes,No,No,0,Hospitalised,0 to 16,Female,Vehicle Occupant,16,16
29,2001,Minor injury,3,0,0,0,3,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,2,3,0,Driver Speed,Unlicensed,Brisbane,No,Yes,Yes,No,Yes,No,Yes,0,Hospitalised,0 to 16,Female,Vehicle Occupant,1,1
30,2001,Minor injury,27,0,0,0,30,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,3,2,0,Drink Driving,Senior,Brisbane,No,Yes,Yes,Yes,No,No,No,0,Hospitalised,17 to 24,Female,Motorcyclist,5,5
31,2001,Minor injury,1,0,0,0,2,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,4,0,Drink Driving,Provisional,Brisbane,No,Yes,Yes,Yes,Yes,No,No,0,Hospitalised,17 to 24,Female,Vehicle Occupant,107,107
32,2001,Minor injury,1,0,0,0,1,Yes,No,Yes,No,Yes,No,No,No,No,No,No,3,6,0,Drink Driving,Male,Brisbane,Yes,No,No,No,No,No,No,0,Hospitalised,17 to 24,Female,Vehicle Occupant,18,18
33,2001,Minor injury,1,0,0,0,1,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,3,3,0,Drink Driving,Unlicensed,Brisbane,Yes,No,No,No,No,No,Yes,0,Hospitalised,17 to 24,Female,Vehicle Occupant,7,7
34,2001,Minor injury,1,0,0,0,1,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,3,7,0,Drink Driving,OverseasLicensed ,Brisbane,Yes,No,No,No,No,Yes,No,0,Hospitalised,25 to 29,Female,Motorcyclist,2,2
35,2001,Property damage only,2023,0,0,0,0,No,No,No,No,Yes,No,No,Yes,No,No,No,0,4,0,Other Reasons,Provisional,Brisbane,Yes,No,No,No,Yes,No,No,0,Hospitalised,25 to 29,Female,Vehicle Occupant,48,48
36,2001,Property damage only,56,0,0,0,0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,1,2,0,Defective Vehicle,Senior,Brisbane,Yes,No,No,Yes,No,No,No,0,Hospitalised,25 to 29,Female,Vehicle Occupant,12,12
37,2001,Property damage only,22,0,0,0,0,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,4,3,0,Fatigued Driver,Unlicensed,Brisbane,Yes,No,No,Yes,No,No,Yes,0,Hospitalised,25 to 29,Female,Vehicle Occupant,4,4
38,2001,Property damage only,89,0,0,0,0,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,2,4,0,Driver Speed,Provisional,Brisbane,Yes,No,No,Yes,Yes,No,No,0,Hospitalised,30 to 39,Female,Bicyclist,2,2
39,2001,Property damage only,5,0,0,0,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,2,5,0,Driver Speed,Young_driver,Brisbane,Yes,No,Yes,No,No,No,No,0,Hospitalised,30 to 39,Female,Motorcyclist,1,1
40,2001,Property damage only,2,0,0,0,0,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,2,3,0,Driver Speed,Unlicensed,Brisbane,Yes,No,Yes,No,No,No,Yes,0,Hospitalised,30 to 39,Female,Motorcyclist,4,4
41,2001,Property damage only,1,0,0,0,0,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,2,7,0,Driver Speed,OverseasLicensed ,Brisbane,Yes,No,Yes,No,No,Yes,No,0,Hospitalised,30 to 39,Female,Vehicle Occupant,63,63
42,2001,Property damage only,159,0,0,0,0,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,3,4,0,Drink Driving,Provisional,Brisbane,Yes,No,Yes,No,Yes,No,No,0,Hospitalised,30 to 39,Female,Vehicle Occupant,10,10
43,2001,Property damage only,2,0,0,0,0,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,3,3,0,Drink Driving,Unlicensed,Brisbane,Yes,No,Yes,No,Yes,No,Yes,0,Hospitalised,40 to 49,Female,Bicyclist,2,2
44,2001,Property damage only,15,0,0,0,0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,3,4,0,Drink Driving,Provisional,Brisbane,Yes,No,Yes,No,Yes,Yes,No,0,Hospitalised,40 to 49,Female,Motorcyclist,6,6
45,2001,Fatal,25,26,10,8,1,No,No,No,No,Yes,No,Yes,No,No,Yes,No,0,2,1,Other Reasons,Senior,Central,Yes,No,Yes,Yes,No,No,No,0,Hospitalised,40 to 49,Female,Vehicle Occupant,1,1
46,2001,Fatal,1,1,0,0,0,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,1,4,1,Defective Vehicle,Provisional,Central,Yes,No,Yes,Yes,Yes,No,No,0,Hospitalised,40 to 49,Female,Vehicle Occupant,61,61
47,2001,Fatal,5,8,2,0,0,No,No,Yes,No,Yes,Yes,No,No,No,No,No,4,1,1,Fatigued Driver,Female,Central,Yes,Yes,No,No,No,No,No,0,Hospitalised,40 to 49,Female,Vehicle Occupant,6,6
48,2001,Fatal,3,4,0,0,0,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,2,3,1,Driver Speed,Unlicensed,Central,Yes,Yes,No,No,No,No,Yes,0,Hospitalised,40 to 49,Female,Vehicle Occupant,4,4
49,2001,Fatal,7,7,3,0,1,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,3,7,1,Drink Driving,OverseasLicensed ,Central,Yes,Yes,No,No,No,Yes,No,0,Hospitalised,50 to 59,Female,Motorcyclist,2,2
50,2001,Fatal,2,2,1,0,0,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,3,4,1,Drink Driving,Provisional,Central,Yes,Yes,No,No,Yes,No,No,0,Hospitalised,50 to 59,Female,Vehicle Occupant,39,39
51,2001,Hospitalisation,305,0,358,79,19,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,2,1,Other Reasons,Senior,Central,Yes,Yes,No,Yes,No,No,No,0,Hospitalised,50 to 59,Female,Vehicle Occupant,6,6
52,2001,Hospitalisation,23,0,36,3,2,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1,3,1,Defective Vehicle,Unlicensed,Central,Yes,Yes,No,Yes,No,No,Yes,0,Hospitalised,50 to 59,Female,Vehicle Occupant,1,1
53,2001,Hospitalisation,29,0,36,4,1,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,4,7,1,Fatigued Driver,OverseasLicensed ,Central,Yes,Yes,No,Yes,No,Yes,No,0,Hospitalised,60 to 74,Female,Vehicle Occupant,31,31
54,2001,Hospitalisation,18,0,23,4,1,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,2,4,1,Driver Speed,Provisional,Central,Yes,Yes,No,Yes,Yes,No,No,0,Hospitalised,60 to 74,Female,Vehicle Occupant,1,1
55,2001,Hospitalisation,1,0,1,0,0,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,2,5,1,Driver Speed,Young_driver,Central,Yes,Yes,Yes,No,No,No,No,0,Hospitalised,60 to 74,Female,Vehicle Occupant,4,4
56,2001,Hospitalisation,43,0,53,6,1,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,3,3,1,Drink Driving,Unlicensed,Central,Yes,Yes,Yes,No,No,No,Yes,0,Hospitalised,75 and over,Female,Vehicle Occupant,22,22
57,2001,Hospitalisation,1,0,1,0,0,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,3,7,1,Drink Driving,OverseasLicensed ,Central,Yes,Yes,Yes,No,No,Yes,No,0,Hospitalised,75 and over,Female,Vehicle Occupant,4,4
58,2001,Hospitalisation,4,0,9,2,0,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,3,4,1,Drink Driving,Provisional,Central,Yes,Yes,Yes,No,Yes,No,No,0,Hospitalised,75 and over,Female,Vehicle Occupant,1,1
59,2001,Medical treatment,397,0,0,482,36,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,0,3,1,Other Reasons,Unlicensed,Central,Yes,Yes,Yes,No,Yes,No,Yes,0,Hospitalised,Unknown,Female,Vehicle Occupant,1,1
60,2001,Medical treatment,20,0,0,23,0,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,4,1,Defective Vehicle,Provisional,Central,Yes,Yes,Yes,No,Yes,Yes,No,0,Hospitalised,0 to 16,Male,Bicyclist,3,3
61,2001,Medical treatment,6,0,0,6,0,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,4,2,1,Fatigued Driver,Senior,Central,Yes,Yes,Yes,Yes,No,No,No,0,Hospitalised,0 to 16,Male,Bicyclist,1,1
62,2001,Medical treatment,21,0,0,24,3,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2,3,1,Driver Speed,Unlicensed,Central,Yes,Yes,Yes,Yes,No,No,Yes,0,Hospitalised,0 to 16,Male,Bicyclist,11,11
63,2001,Medical treatment,18,0,0,20,1,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,3,4,1,Drink Driving,Provisional,Central,Yes,Yes,Yes,Yes,Yes,No,No,0,Hospitalised,0 to 16,Male,Motorcyclist,2,2
64,2001,Medical treatment,4,0,0,5,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,3,3,1,Drink Driving,Unlicensed,Central,Yes,Yes,Yes,Yes,Yes,No,Yes,0,Hospitalised,0 to 16,Male,Vehicle Occupant,20,20
65,2001,Medical treatment,1,0,0,1,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,4,1,Drink Driving,Provisional,Central,Yes,Yes,Yes,Yes,Yes,Yes,No,0,Hospitalised,0 to 16,Male,Vehicle Occupant,6,6
66,2001,Minor injury,213,0,0,0,245,No,No,No,No,No,No,No,No,No,No,No,0,0,1,Other Reasons,NotCategorised,Central,No,No,No,No,No,No,No,0,Hospitalised,0 to 16,Male,Vehicle Occupant,1,1
67,2001,Minor injury,5,0,0,0,5,No,No,No,Yes,No,Yes,No,No,No,No,No,1,1,1,Defective Vehicle,Female,Central,No,Yes,No,No,No,No,No,0,Hospitalised,17 to 24,Male,Bicyclist,2,2
68,2001,Minor injury,13,0,0,0,16,No,No,Yes,No,No,Yes,No,No,No,No,Yes,4,3,1,Fatigued Driver,Unlicensed,Central,No,Yes,No,No,No,No,Yes,0,Hospitalised,17 to 24,Male,Bicyclist,14,14
69,2001,Minor injury,6,0,0,0,7,No,Yes,No,No,No,Yes,No,No,Yes,No,No,2,7,1,Driver Speed,OverseasLicensed ,Central,No,Yes,No,No,No,Yes,No,0,Hospitalised,17 to 24,Male,Motorcyclist,4,4
70,2001,Minor injury,11,0,0,0,16,Yes,No,No,No,No,Yes,No,Yes,No,No,No,3,4,1,Drink Driving,Provisional,Central,No,Yes,No,No,Yes,No,No,0,Hospitalised,17 to 24,Male,Motorcyclist,39,39
71,2001,Minor injury,1,0,0,0,1,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,3,2,1,Drink Driving,Senior,Central,No,Yes,No,Yes,No,No,No,0,Hospitalised,17 to 24,Male,Vehicle Occupant,111,111
72,2001,Property damage only,673,0,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,No,No,0,4,1,Other Reasons,Provisional,Central,No,Yes,No,Yes,Yes,No,No,0,Hospitalised,17 to 24,Male,Vehicle Occupant,40,40
73,2001,Property damage only,30,0,0,0,0,No,No,No,Yes,No,Yes,No,No,No,Yes,No,1,5,1,Defective Vehicle,Young_driver,Central,No,Yes,Yes,No,No,No,No,0,Hospitalised,17 to 24,Male,Vehicle Occupant,12,12
74,2001,Property damage only,25,0,0,0,0,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,4,3,1,Fatigued Driver,Unlicensed,Central,No,Yes,Yes,No,No,No,Yes,0,Hospitalised,25 to 29,Male,Bicyclist,2,2
75,2001,Property damage only,1,0,0,0,0,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,4,7,1,Fatigued Driver,OverseasLicensed ,Central,No,Yes,Yes,No,No,Yes,No,0,Hospitalised,25 to 29,Male,Bicyclist,10,10
76,2001,Property damage only,39,0,0,0,0,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,2,4,1,Driver Speed,Provisional,Central,No,Yes,Yes,No,Yes,No,No,0,Hospitalised,25 to 29,Male,Motorcyclist,1,1
77,2001,Property damage only,2,0,0,0,0,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,2,3,1,Driver Speed,Unlicensed,Central,No,Yes,Yes,No,Yes,No,Yes,0,Hospitalised,25 to 29,Male,Motorcyclist,1,1
78,2001,Property damage only,41,0,0,0,0,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,3,2,1,Drink Driving,Senior,Central,No,Yes,Yes,Yes,No,No,No,0,Hospitalised,25 to 29,Male,Motorcyclist,25,25
79,2001,Property damage only,1,0,0,0,0,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3,4,1,Drink Driving,Provisional,Central,No,Yes,Yes,Yes,Yes,No,No,0,Hospitalised,25 to 29,Male,Vehicle Occupant,1,1
80,2001,Property damage only,7,0,0,0,0,Yes,Yes,No,No,Yes,No,No,No,No,No,No,3,6,1,Drink Driving,Male,Central,Yes,No,No,No,No,No,No,0,Hospitalised,25 to 29,Male,Vehicle Occupant,36,36
81,2001,Fatal,20,25,17,3,0,No,No,No,No,Yes,No,No,No,No,No,Yes,0,3,2,Other Reasons,Unlicensed,Far Northern,Yes,No,No,No,No,No,Yes,0,Hospitalised,25 to 29,Male,Vehicle Occupant,13,13
82,2001,Fatal,1,1,0,0,0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,1,7,2,Defective Vehicle,OverseasLicensed ,Far Northern,Yes,No,No,No,No,Yes,No,0,Hospitalised,25 to 29,Male,Vehicle Occupant,4,4
83,2001,Fatal,2,2,1,0,0,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,2,3,2,Driver Speed,Unlicensed,Far Northern,Yes,No,No,No,No,Yes,Yes,0,Hospitalised,30 to 39,Male,Bicyclist,2,2
84,2001,Fatal,1,1,0,0,0,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,3,4,2,Drink Driving,Provisional,Far Northern,Yes,No,No,No,Yes,No,No,0,Hospitalised,30 to 39,Male,Bicyclist,18,18
85,2001,Hospitalisation,224,0,270,45,22,No,No,No,No,Yes,No,Yes,No,No,No,No,0,2,2,Other Reasons,Senior,Far Northern,Yes,No,No,Yes,No,No,No,0,Hospitalised,30 to 39,Male,Motorcyclist,2,2
86,2001,Hospitalisation,9,0,9,2,1,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,1,3,2,Defective Vehicle,Unlicensed,Far Northern,Yes,No,No,Yes,No,No,Yes,0,Hospitalised,30 to 39,Male,Motorcyclist,39,39
87,2001,Hospitalisation,12,0,22,3,1,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,4,7,2,Fatigued Driver,OverseasLicensed ,Far Northern,Yes,No,No,Yes,No,Yes,No,0,Hospitalised,30 to 39,Male,Vehicle Occupant,60,60
88,2001,Hospitalisation,22,0,36,4,1,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,2,4,2,Driver Speed,Provisional,Far Northern,Yes,No,No,Yes,Yes,No,No,0,Hospitalised,30 to 39,Male,Vehicle Occupant,20,20
89,2001,Hospitalisation,1,0,1,0,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,2,5,2,Driver Speed,Young_driver,Far Northern,Yes,No,Yes,No,No,No,No,0,Hospitalised,30 to 39,Male,Vehicle Occupant,5,5
90,2001,Hospitalisation,16,0,17,1,2,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,3,3,2,Drink Driving,Unlicensed,Far Northern,Yes,No,Yes,No,No,No,Yes,0,Hospitalised,40 to 49,Male,Bicyclist,7,7
91,2001,Hospitalisation,1,0,3,2,1,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,3,7,2,Drink Driving,OverseasLicensed ,Far Northern,Yes,No,Yes,No,No,Yes,No,0,Hospitalised,40 to 49,Male,Motorcyclist,1,1
92,2001,Hospitalisation,1,0,1,0,0,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,3,4,2,Drink Driving,Provisional,Far Northern,Yes,No,Yes,No,Yes,No,No,0,Hospitalised,40 to 49,Male,Motorcyclist,24,24
93,2001,Hospitalisation,2,0,5,0,0,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,3,3,2,Drink Driving,Unlicensed,Far Northern,Yes,No,Yes,No,Yes,No,Yes,0,Hospitalised,40 to 49,Male,Vehicle Occupant,1,1
94,2001,Medical treatment,228,0,0,265,13,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,0,4,2,Other Reasons,Provisional,Far Northern,Yes,No,Yes,No,Yes,Yes,No,0,Hospitalised,40 to 49,Male,Vehicle Occupant,43,43
95,2001,Medical treatment,11,0,0,22,1,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,1,2,2,Defective Vehicle,Senior,Far Northern,Yes,No,Yes,Yes,No,No,No,0,Hospitalised,40 to 49,Male,Vehicle Occupant,14,14
96,2001,Medical treatment,5,0,0,5,2,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,4,3,2,Fatigued Driver,Unlicensed,Far Northern,Yes,No,Yes,Yes,No,No,Yes,0,Hospitalised,40 to 49,Male,Vehicle Occupant,3,3
97,2001,Medical treatment,9,0,0,10,1,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,2,4,2,Driver Speed,Provisional,Far Northern,Yes,No,Yes,Yes,Yes,No,No,0,Hospitalised,50 to 59,Male,Bicyclist,4,4
98,2001,Medical treatment,1,0,0,1,1,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,2,1,2,Driver Speed,Female,Far Northern,Yes,Yes,No,No,No,No,No,0,Hospitalised,50 to 59,Male,Motorcyclist,1,1
99,2001,Medical treatment,13,0,0,13,0,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,3,3,2,Drink Driving,Unlicensed,Far Northern,Yes,Yes,No,No,No,No,Yes,0,Hospitalised,50 to 59,Male,Motorcyclist,7,7
100,2001,Medical treatment,1,0,0,1,0,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,3,7,2,Drink Driving,OverseasLicensed ,Far Northern,Yes,Yes,No,No,No,Yes,No,0,Hospitalised,50 to 59,Male,Vehicle Occupant,30,30
101,2001,Medical treatment,2,0,0,3,0,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,3,4,2,Drink Driving,Provisional,Far Northern,Yes,Yes,No,No,Yes,No,No,0,Hospitalised,50 to 59,Male,Vehicle Occupant,7,7
102,2001,Minor injury,141,0,0,0,167,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,2,2,Other Reasons,Senior,Far Northern,Yes,Yes,No,Yes,No,No,No,0,Hospitalised,50 to 59,Male,Vehicle Occupant,2,2
103,2001,Minor injury,4,0,0,0,4,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1,3,2,Defective Vehicle,Unlicensed,Far Northern,Yes,Yes,No,Yes,No,No,Yes,0,Hospitalised,60 to 74,Male,Motorcyclist,1,1
