_id,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
20,2001,Brisbane,Hospitalisation,No,No,No,No,No,No,No,25,0,25,1,0,26
21,2001,Brisbane,Hospitalisation,No,Yes,No,No,No,No,No,95,0,110,7,12,129
22,2001,Brisbane,Hospitalisation,No,Yes,No,No,No,No,Yes,2,0,2,0,0,2
23,2001,Brisbane,Hospitalisation,No,Yes,No,Yes,No,No,No,19,0,19,0,1,20
24,2001,Brisbane,Hospitalisation,No,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
25,2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,No,No,25,0,27,2,3,32
26,2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,No,Yes,2,0,5,0,0,5
27,2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,Yes,No,2,0,2,1,0,3
28,2001,Brisbane,Hospitalisation,No,Yes,Yes,No,Yes,No,No,47,0,53,5,2,60
29,2001,Brisbane,Hospitalisation,No,Yes,Yes,No,Yes,No,Yes,1,0,2,0,0,2
30,2001,Brisbane,Hospitalisation,No,Yes,Yes,Yes,No,No,No,1,0,2,0,0,2
31,2001,Brisbane,Hospitalisation,No,Yes,Yes,Yes,Yes,No,No,1,0,2,0,0,2
32,2001,Brisbane,Hospitalisation,Yes,No,No,No,No,No,No,263,0,289,10,10,309
33,2001,Brisbane,Hospitalisation,Yes,No,No,No,No,No,Yes,20,0,27,3,0,30
34,2001,Brisbane,Hospitalisation,Yes,No,No,No,No,Yes,No,4,0,4,0,0,4
35,2001,Brisbane,Hospitalisation,Yes,No,No,No,Yes,No,No,12,0,12,0,0,12
36,2001,Brisbane,Hospitalisation,Yes,No,No,Yes,No,No,No,75,0,83,6,2,91
37,2001,Brisbane,Hospitalisation,Yes,No,No,Yes,No,No,Yes,3,0,4,1,0,5
38,2001,Brisbane,Hospitalisation,Yes,No,No,Yes,Yes,No,No,3,0,3,0,0,3
39,2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,No,No,87,0,99,13,3,115
40,2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,No,Yes,24,0,31,4,1,36
41,2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,Yes,No,4,0,5,2,0,7
42,2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,No,No,93,0,117,12,12,141
43,2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,No,Yes,2,0,3,0,0,3
44,2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,Yes,No,1,0,1,0,0,1
45,2001,Brisbane,Hospitalisation,Yes,No,Yes,Yes,No,No,No,6,0,8,1,0,9
46,2001,Brisbane,Hospitalisation,Yes,No,Yes,Yes,Yes,No,No,2,0,3,0,2,5
47,2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,No,No,101,0,122,12,8,142
48,2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,No,Yes,6,0,7,2,1,10
49,2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,Yes,No,1,0,1,0,0,1
50,2001,Brisbane,Hospitalisation,Yes,Yes,No,No,Yes,No,No,7,0,8,2,2,12
51,2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,No,No,42,0,46,15,6,67
52,2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,No,Yes,4,0,6,5,1,12
53,2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,Yes,No,1,0,1,0,0,1
54,2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
55,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,No,No,60,0,72,3,4,79
56,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,No,Yes,4,0,5,3,1,9
57,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,Yes,No,3,0,4,0,0,4
58,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,No,No,68,0,85,13,8,106
59,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,No,Yes,1,0,2,1,0,3
60,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,Yes,No,1,0,1,1,0,2
61,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,No,No,No,9,0,10,0,0,10
62,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,No,No,Yes,1,0,2,0,0,2
63,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,No,3,0,3,2,0,5
64,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,Yes,1,0,1,1,0,2
65,2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,0,0,1
66,2001,Brisbane,Medical treatment,No,No,No,No,No,No,No,37,0,0,38,0,38
67,2001,Brisbane,Medical treatment,No,Yes,No,No,No,No,No,196,0,0,226,5,231
68,2001,Brisbane,Medical treatment,No,Yes,No,No,No,No,Yes,1,0,0,1,0,1
69,2001,Brisbane,Medical treatment,No,Yes,No,No,No,Yes,No,2,0,0,2,0,2
70,2001,Brisbane,Medical treatment,No,Yes,No,No,Yes,No,No,2,0,0,2,0,2
71,2001,Brisbane,Medical treatment,No,Yes,No,Yes,No,No,No,31,0,0,35,3,38
72,2001,Brisbane,Medical treatment,No,Yes,No,Yes,Yes,No,No,1,0,0,1,0,1
73,2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,No,No,47,0,0,60,2,62
74,2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,No,Yes,3,0,0,4,0,4
75,2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,Yes,No,1,0,0,1,0,1
76,2001,Brisbane,Medical treatment,No,Yes,Yes,No,Yes,No,No,72,0,0,83,7,90
77,2001,Brisbane,Medical treatment,No,Yes,Yes,No,Yes,No,Yes,1,0,0,1,0,1
78,2001,Brisbane,Medical treatment,No,Yes,Yes,Yes,No,No,No,3,0,0,4,0,4
79,2001,Brisbane,Medical treatment,No,Yes,Yes,Yes,Yes,No,No,1,0,0,1,0,1
80,2001,Brisbane,Medical treatment,Yes,No,No,No,No,No,No,401,0,0,463,13,476
81,2001,Brisbane,Medical treatment,Yes,No,No,No,No,No,Yes,29,0,0,32,2,34
82,2001,Brisbane,Medical treatment,Yes,No,No,No,No,Yes,No,10,0,0,11,1,12
83,2001,Brisbane,Medical treatment,Yes,No,No,No,No,Yes,Yes,1,0,0,2,0,2
84,2001,Brisbane,Medical treatment,Yes,No,No,No,Yes,No,No,16,0,0,19,4,23
85,2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,No,No,101,0,0,123,3,126
86,2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,No,Yes,2,0,0,3,0,3
87,2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,Yes,No,1,0,0,1,0,1
88,2001,Brisbane,Medical treatment,Yes,No,No,Yes,Yes,No,No,1,0,0,1,1,2
89,2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,No,No,124,0,0,133,8,141
90,2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,No,Yes,13,0,0,13,1,14
91,2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,Yes,No,5,0,0,7,1,8
92,2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,No,No,159,0,0,190,11,201
93,2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,No,Yes,1,0,0,1,0,1
94,2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,Yes,No,2,0,0,6,0,6
95,2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,No,No,No,11,0,0,11,2,13
96,2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,No,No,Yes,1,0,0,1,0,1
97,2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,Yes,No,No,18,0,0,24,2,26
98,2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,No,No,294,0,0,341,31,372
99,2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,No,Yes,11,0,0,13,0,13
100,2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,Yes,No,4,0,0,5,2,7
101,2001,Brisbane,Medical treatment,Yes,Yes,No,No,Yes,No,No,15,0,0,16,3,19
102,2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,No,No,73,0,0,90,6,96
103,2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,No,Yes,2,0,0,2,0,2
104,2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,Yes,No,2,0,0,2,0,2
105,2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,Yes,No,No,1,0,0,1,0,1
106,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,No,No,137,0,0,169,10,179
107,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,No,Yes,10,0,0,10,0,10
108,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,Yes,No,3,0,0,5,0,5
109,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,Yes,Yes,1,0,0,6,0,6
110,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,No,No,181,0,0,225,18,243
111,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,No,Yes,7,0,0,7,0,7
112,2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,Yes,No,2,0,0,3,0,3
113,2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,No,No,No,20,0,0,29,0,29
114,2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,No,No,Yes,1,0,0,1,0,1
115,2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,Yes,No,No,26,0,0,35,0,35
116,2001,Brisbane,Minor injury,No,No,No,No,No,No,No,16,0,0,0,16,16
117,2001,Brisbane,Minor injury,No,Yes,No,No,No,No,No,123,0,0,0,141,141
118,2001,Brisbane,Minor injury,No,Yes,No,No,No,No,Yes,4,0,0,0,5,5
119,2001,Brisbane,Minor injury,No,Yes,No,No,No,Yes,No,2,0,0,0,2,2
120,2001,Brisbane,Minor injury,No,Yes,No,No,Yes,No,No,2,0,0,0,2,2
121,2001,Brisbane,Minor injury,No,Yes,No,Yes,No,No,No,14,0,0,0,16,16
122,2001,Brisbane,Minor injury,No,Yes,Yes,No,No,No,No,45,0,0,0,50,50
123,2001,Brisbane,Minor injury,No,Yes,Yes,No,No,No,Yes,4,0,0,0,4,4
124,2001,Brisbane,Minor injury,No,Yes,Yes,No,No,Yes,No,1,0,0,0,1,1
125,2001,Brisbane,Minor injury,No,Yes,Yes,No,Yes,No,No,51,0,0,0,70,70
126,2001,Brisbane,Minor injury,No,Yes,Yes,Yes,No,No,No,4,0,0,0,6,6
127,2001,Brisbane,Minor injury,No,Yes,Yes,Yes,Yes,No,No,2,0,0,0,4,4
128,2001,Brisbane,Minor injury,Yes,No,No,No,No,No,No,273,0,0,0,306,306
129,2001,Brisbane,Minor injury,Yes,No,No,No,No,No,Yes,5,0,0,0,6,6
130,2001,Brisbane,Minor injury,Yes,No,No,No,No,Yes,No,8,0,0,0,8,8
131,2001,Brisbane,Minor injury,Yes,No,No,No,Yes,No,No,12,0,0,0,14,14
132,2001,Brisbane,Minor injury,Yes,No,No,Yes,No,No,No,64,0,0,0,72,72
133,2001,Brisbane,Minor injury,Yes,No,No,Yes,No,Yes,No,2,0,0,0,2,2
134,2001,Brisbane,Minor injury,Yes,No,No,Yes,Yes,No,No,4,0,0,0,5,5
135,2001,Brisbane,Minor injury,Yes,No,Yes,No,No,No,No,71,0,0,0,86,86
136,2001,Brisbane,Minor injury,Yes,No,Yes,No,No,No,Yes,9,0,0,0,10,10
137,2001,Brisbane,Minor injury,Yes,No,Yes,No,No,Yes,No,4,0,0,0,5,5
138,2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,No,No,110,0,0,0,137,137
139,2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,No,Yes,1,0,0,0,1,1
140,2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,Yes,No,3,0,0,0,4,4
141,2001,Brisbane,Minor injury,Yes,No,Yes,Yes,No,No,No,10,0,0,0,12,12
142,2001,Brisbane,Minor injury,Yes,No,Yes,Yes,No,Yes,Yes,1,0,0,0,1,1
143,2001,Brisbane,Minor injury,Yes,No,Yes,Yes,Yes,No,No,3,0,0,0,3,3
144,2001,Brisbane,Minor injury,Yes,Yes,No,No,No,No,No,205,0,0,0,242,242
145,2001,Brisbane,Minor injury,Yes,Yes,No,No,No,No,Yes,11,0,0,0,12,12
146,2001,Brisbane,Minor injury,Yes,Yes,No,No,No,Yes,No,6,0,0,0,6,6
147,2001,Brisbane,Minor injury,Yes,Yes,No,No,Yes,No,No,6,0,0,0,7,7
148,2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,No,No,53,0,0,0,64,64
149,2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,No,Yes,1,0,0,0,1,1
150,2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,Yes,No,2,0,0,0,2,2
151,2001,Brisbane,Minor injury,Yes,Yes,No,Yes,Yes,No,No,1,0,0,0,2,2
152,2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,No,No,89,0,0,0,105,105
153,2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,No,Yes,7,0,0,0,8,8
154,2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,Yes,No,4,0,0,0,6,6
155,2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,No,No,123,0,0,0,154,154
156,2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,No,Yes,3,0,0,0,6,6
157,2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,Yes,No,5,0,0,0,8,8
158,2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,No,No,No,13,0,0,0,18,18
159,2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,No,No,Yes,1,0,0,0,2,2
160,2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,Yes,No,No,7,0,0,0,11,11
161,2001,Brisbane,Property damage only,No,No,No,No,No,No,No,68,0,0,0,0,0
162,2001,Brisbane,Property damage only,No,Yes,No,No,No,No,No,142,0,0,0,0,0
163,2001,Brisbane,Property damage only,No,Yes,No,No,No,No,Yes,8,0,0,0,0,0
164,2001,Brisbane,Property damage only,No,Yes,No,No,No,Yes,No,7,0,0,0,0,0
165,2001,Brisbane,Property damage only,No,Yes,No,No,Yes,No,No,5,0,0,0,0,0
166,2001,Brisbane,Property damage only,No,Yes,No,Yes,No,No,No,32,0,0,0,0,0
167,2001,Brisbane,Property damage only,No,Yes,No,Yes,No,No,Yes,1,0,0,0,0,0
168,2001,Brisbane,Property damage only,No,Yes,No,Yes,No,Yes,No,1,0,0,0,0,0
169,2001,Brisbane,Property damage only,No,Yes,Yes,No,No,No,No,64,0,0,0,0,0
170,2001,Brisbane,Property damage only,No,Yes,Yes,No,No,No,Yes,8,0,0,0,0,0
171,2001,Brisbane,Property damage only,No,Yes,Yes,No,No,Yes,No,1,0,0,0,0,0
172,2001,Brisbane,Property damage only,No,Yes,Yes,No,Yes,No,No,79,0,0,0,0,0
173,2001,Brisbane,Property damage only,No,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0
174,2001,Brisbane,Property damage only,No,Yes,Yes,Yes,Yes,No,No,1,0,0,0,0,0
175,2001,Brisbane,Property damage only,Yes,No,No,No,No,No,No,442,0,0,0,0,0
176,2001,Brisbane,Property damage only,Yes,No,No,No,No,No,Yes,31,0,0,0,0,0
177,2001,Brisbane,Property damage only,Yes,No,No,No,No,Yes,No,10,0,0,0,0,0
178,2001,Brisbane,Property damage only,Yes,No,No,No,Yes,No,No,19,0,0,0,0,0
179,2001,Brisbane,Property damage only,Yes,No,No,Yes,No,No,No,85,0,0,0,0,0
180,2001,Brisbane,Property damage only,Yes,No,No,Yes,No,No,Yes,2,0,0,0,0,0
181,2001,Brisbane,Property damage only,Yes,No,No,Yes,No,Yes,No,1,0,0,0,0,0
182,2001,Brisbane,Property damage only,Yes,No,No,Yes,Yes,No,No,4,0,0,0,0,0
183,2001,Brisbane,Property damage only,Yes,No,Yes,No,No,No,No,199,0,0,0,0,0
184,2001,Brisbane,Property damage only,Yes,No,Yes,No,No,No,Yes,31,0,0,0,0,0
185,2001,Brisbane,Property damage only,Yes,No,Yes,No,No,Yes,No,6,0,0,0,0,0
186,2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,No,No,279,0,0,0,0,0
187,2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,No,Yes,7,0,0,0,0,0
188,2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,Yes,No,2,0,0,0,0,0
189,2001,Brisbane,Property damage only,Yes,No,Yes,Yes,No,No,No,17,0,0,0,0,0
190,2001,Brisbane,Property damage only,Yes,No,Yes,Yes,No,No,Yes,1,0,0,0,0,0
191,2001,Brisbane,Property damage only,Yes,No,Yes,Yes,Yes,No,No,20,0,0,0,0,0
192,2001,Brisbane,Property damage only,Yes,Yes,No,No,No,No,No,277,0,0,0,0,0
193,2001,Brisbane,Property damage only,Yes,Yes,No,No,No,No,Yes,11,0,0,0,0,0
194,2001,Brisbane,Property damage only,Yes,Yes,No,No,No,Yes,No,10,0,0,0,0,0
195,2001,Brisbane,Property damage only,Yes,Yes,No,No,Yes,No,No,11,0,0,0,0,0
196,2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,No,No,91,0,0,0,0,0
197,2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,No,Yes,2,0,0,0,0,0
198,2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,Yes,No,3,0,0,0,0,0
199,2001,Brisbane,Property damage only,Yes,Yes,No,Yes,Yes,No,No,1,0,0,0,0,0
200,2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,No,No,130,0,0,0,0,0
201,2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,No,Yes,9,0,0,0,0,0
202,2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,Yes,No,10,0,0,0,0,0
203,2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,No,No,187,0,0,0,0,0
204,2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,No,Yes,4,0,0,0,0,0
205,2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,Yes,No,4,0,0,0,0,0
206,2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,No,No,22,0,0,0,0,0
207,2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,No,Yes,3,0,0,0,0,0
208,2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,Yes,No,1,0,0,0,0,0
209,2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,Yes,No,No,23,0,0,0,0,0
210,2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,Yes,No,Yes,1,0,0,0,0,0
211,2001,Central,Fatal,No,Yes,No,No,No,No,No,9,12,3,0,1,16
212,2001,Central,Fatal,Yes,No,No,No,No,No,No,14,14,1,3,0,18
213,2001,Central,Fatal,Yes,No,No,No,Yes,No,No,1,1,0,0,0,1
214,2001,Central,Fatal,Yes,No,No,Yes,No,No,No,2,2,1,0,0,3
215,2001,Central,Fatal,Yes,No,No,Yes,No,No,Yes,1,1,1,0,0,2
216,2001,Central,Fatal,Yes,No,Yes,No,No,No,No,3,3,2,0,0,5
217,2001,Central,Fatal,Yes,No,Yes,No,No,No,Yes,2,2,3,0,0,5
218,2001,Central,Fatal,Yes,No,Yes,No,Yes,No,No,6,6,3,5,0,14
219,2001,Central,Fatal,Yes,No,Yes,Yes,Yes,Yes,No,1,2,0,0,0,2
220,2001,Central,Fatal,Yes,Yes,No,No,No,No,No,1,1,1,0,0,2
221,2001,Central,Fatal,Yes,Yes,No,No,No,Yes,No,1,2,0,0,0,2
222,2001,Central,Fatal,Yes,Yes,Yes,No,No,Yes,No,1,1,0,0,0,1
223,2001,Central,Fatal,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,0,1,3
224,2001,Central,Hospitalisation,No,No,No,No,No,No,No,5,0,5,0,0,5
225,2001,Central,Hospitalisation,No,Yes,No,No,No,No,No,53,0,65,7,1,73
226,2001,Central,Hospitalisation,No,Yes,No,No,No,No,Yes,1,0,1,0,0,1
227,2001,Central,Hospitalisation,No,Yes,No,No,No,Yes,No,2,0,4,0,0,4
228,2001,Central,Hospitalisation,No,Yes,No,No,Yes,No,No,1,0,1,0,0,1
229,2001,Central,Hospitalisation,No,Yes,No,Yes,No,No,No,7,0,9,0,1,10
230,2001,Central,Hospitalisation,No,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
231,2001,Central,Hospitalisation,No,Yes,Yes,No,No,No,No,9,0,9,1,0,10
232,2001,Central,Hospitalisation,No,Yes,Yes,No,No,No,Yes,3,0,5,0,0,5
233,2001,Central,Hospitalisation,No,Yes,Yes,No,Yes,No,No,17,0,22,1,0,23
234,2001,Central,Hospitalisation,No,Yes,Yes,Yes,No,No,No,2,0,2,2,0,4
235,2001,Central,Hospitalisation,No,Yes,Yes,Yes,No,No,Yes,1,0,1,1,0,2
236,2001,Central,Hospitalisation,No,Yes,Yes,Yes,Yes,No,No,1,0,1,0,0,1
237,2001,Central,Hospitalisation,Yes,No,No,No,No,No,No,123,0,140,20,4,164
238,2001,Central,Hospitalisation,Yes,No,No,No,No,No,Yes,10,0,14,0,0,14
239,2001,Central,Hospitalisation,Yes,No,No,No,No,Yes,No,2,0,3,1,0,4
240,2001,Central,Hospitalisation,Yes,No,No,No,Yes,No,No,4,0,10,27,0,37
241,2001,Central,Hospitalisation,Yes,No,No,Yes,No,No,No,24,0,28,4,3,35
242,2001,Central,Hospitalisation,Yes,No,No,Yes,No,No,Yes,1,0,1,0,0,1
243,2001,Central,Hospitalisation,Yes,No,No,Yes,No,Yes,No,1,0,1,0,1,2
244,2001,Central,Hospitalisation,Yes,No,Yes,No,No,No,No,37,0,43,5,1,49
245,2001,Central,Hospitalisation,Yes,No,Yes,No,No,No,Yes,11,0,13,5,0,18
246,2001,Central,Hospitalisation,Yes,No,Yes,No,No,Yes,No,6,0,8,0,1,9
247,2001,Central,Hospitalisation,Yes,No,Yes,No,Yes,No,No,36,0,45,4,2,51
248,2001,Central,Hospitalisation,Yes,No,Yes,Yes,No,No,No,1,0,1,0,0,1
249,2001,Central,Hospitalisation,Yes,No,Yes,Yes,Yes,No,No,1,0,1,2,0,3
250,2001,Central,Hospitalisation,Yes,Yes,No,No,No,No,No,19,0,28,4,2,34
251,2001,Central,Hospitalisation,Yes,Yes,No,No,No,No,Yes,2,0,2,1,0,3
252,2001,Central,Hospitalisation,Yes,Yes,No,Yes,No,No,No,12,0,12,4,0,16
253,2001,Central,Hospitalisation,Yes,Yes,No,Yes,Yes,No,No,1,0,1,0,2,3
254,2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,No,No,9,0,12,2,3,17
255,2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,No,Yes,3,0,4,0,0,4
256,2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,Yes,No,1,0,6,0,0,6
257,2001,Central,Hospitalisation,Yes,Yes,Yes,No,Yes,No,No,11,0,12,4,0,16
258,2001,Central,Hospitalisation,Yes,Yes,Yes,Yes,No,No,No,1,0,1,0,3,4
259,2001,Central,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,No,5,0,5,3,0,8
260,2001,Central,Medical treatment,No,No,No,No,No,No,No,9,0,0,9,0,9
261,2001,Central,Medical treatment,No,Yes,No,No,No,No,No,59,0,0,69,4,73
262,2001,Central,Medical treatment,No,Yes,No,No,No,Yes,No,4,0,0,5,0,5
263,2001,Central,Medical treatment,No,Yes,No,No,Yes,No,No,3,0,0,3,1,4
264,2001,Central,Medical treatment,No,Yes,No,Yes,No,No,No,14,0,0,18,4,22
265,2001,Central,Medical treatment,No,Yes,Yes,No,No,No,No,19,0,0,22,0,22
266,2001,Central,Medical treatment,No,Yes,Yes,No,No,No,Yes,3,0,0,6,0,6
267,2001,Central,Medical treatment,No,Yes,Yes,No,Yes,No,No,31,0,0,43,6,49
268,2001,Central,Medical treatment,No,Yes,Yes,Yes,No,No,No,3,0,0,3,0,3
269,2001,Central,Medical treatment,No,Yes,Yes,Yes,Yes,No,No,1,0,0,1,0,1
270,2001,Central,Medical treatment,Yes,No,No,No,No,No,No,87,0,0,98,4,102
271,2001,Central,Medical treatment,Yes,No,No,No,No,No,Yes,8,0,0,9,1,10
272,2001,Central,Medical treatment,Yes,No,No,No,No,Yes,No,4,0,0,8,0,8
273,2001,Central,Medical treatment,Yes,No,No,No,Yes,No,No,3,0,0,4,0,4
274,2001,Central,Medical treatment,Yes,No,No,Yes,No,No,No,18,0,0,21,1,22
275,2001,Central,Medical treatment,Yes,No,Yes,No,No,No,No,24,0,0,27,0,27
276,2001,Central,Medical treatment,Yes,No,Yes,No,No,No,Yes,3,0,0,3,0,3
277,2001,Central,Medical treatment,Yes,No,Yes,No,No,Yes,No,2,0,0,3,2,5
